Edge TPU Compiler version 16.0.384591198
Input: yolov5s-diorship-int8.tflite
Output: yolov5s-diorship-int8_edgetpu.tflite

Operator                       Count      Status

QUANTIZE                       6          Mapped to Edge TPU
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
MUL                            75         Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        2          Mapped to Edge TPU
CONCATENATION                  16         Mapped to Edge TPU
CONCATENATION                  1          Operation is otherwise supported, but not mapped due to some unspecified limitation
PAD                            7          Mapped to Edge TPU
STRIDED_SLICE                  9          Mapped to Edge TPU
MAX_POOL_2D                    3          Mapped to Edge TPU
RESHAPE                        5          Mapped to Edge TPU
RESHAPE                        1          Operation is otherwise supported, but not mapped due to some unspecified limitation
ADD                            10         Mapped to Edge TPU
LOGISTIC                       66         Mapped to Edge TPU
CONV_2D                        60         Mapped to Edge TPU
