Edge TPU Compiler version 16.0.384591198
Input: yolov5s-diorall-int8.tflite
Output: yolov5s-diorall-int8_edgetpu.tflite

Operator                       Count      Status

STRIDED_SLICE                  9          Mapped to Edge TPU
RESHAPE                        3          Mapped to Edge TPU
RESHAPE                        3          Operation is otherwise supported, but not mapped due to some unspecified limitation
PAD                            7          Mapped to Edge TPU
CONCATENATION                  1          Operation is otherwise supported, but not mapped due to some unspecified limitation
CONCATENATION                  16         Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        2          Mapped to Edge TPU
CONV_2D                        60         Mapped to Edge TPU
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
QUANTIZE                       5          Mapped to Edge TPU
MUL                            75         Mapped to Edge TPU
LOGISTIC                       66         Mapped to Edge TPU
MAX_POOL_2D                    3          Mapped to Edge TPU
ADD                            10         Mapped to Edge TPU
